Index,Town,Black or African American Alone,White Alone,Hispanic or Latino,Asian Alone,Two or More Races,Median Age,Percent Single-Parent Families,Median Home Value
24,Cheshire,3.95,79.6,6.15,6.85,3.05,44.95,13.26,338300.0
25,Chester,0.95,93.5,3.75,1.0,0.85,49.85,20.31,333650.0
26,Clinton,0.25,90.05,7.1,1.35,0.75,46.55,21.065,285550.0
27,Colchester,1.45,91.4,3.55,1.9,1.6,40.4,18.74,270950.0
28,Colebrook,0.65,95.35,1.9,0.8,1.25,48.55,15.895,275700.0
29,Columbia,0.9,89.5,3.8,0.6,4.7,50.5,19.325,254650.0
30,Connecticut,9.75,67.6,15.55,4.35,2.25,40.75,26.275,275100.0
31,Cornwall,0.2,91.45,3.8,2.75,1.4,52.75,16.66,444750.0
32,Coventry,0.5,93.3,2.65,1.9,0.75,44.55,16.65,257000.0
33,Cromwell,6.95,78.45,8.7,3.25,2.5,43.35,19.39,244450.0
34,Danbury,6.95,53.3,29.15,6.05,2.25,37.85,28.005,299600.0
35,Darien,0.65,87.95,3.55,5.45,2.1,39.25,10.13,1372850.0
36,Deep River,2.35,90.85,4.3,1.55,0.8,46.35,20.885,281000.0
37,Derby,5.65,65.55,23.3,3.15,1.35,43.3,30.815,203150.0
38,Durham,0.25,93.0,2.2,1.55,2.6,44.8,12.84,344050.0
39,East Granby,3.4,79.95,9.5,2.1,4.9,42.9,17.385,284700.0
40,East Haddam,0.85,93.5,3.05,0.6,1.8,46.85,15.315,291100.0
41,East Hampton,1.55,89.1,3.55,3.7,1.75,44.3,12.86,262250.0
42,East Hartford,24.25,35.0,33.35,4.45,2.45,38.0,43.28,166850.0
43,East Haven,3.6,74.35,15.85,4.25,1.6,42.0,30.275,214500.0
44,East Lyme,3.5,79.9,7.7,5.95,2.7,46.95,19.53,312450.0
45,East Windsor,6.6,76.05,7.15,7.2,2.85,43.25,24.77,210300.0
46,Eastford,0.45,94.25,2.7,0.55,2.05,46.15,12.695,254050.0
47,Easton,0.2,90.7,3.65,2.7,2.25,50.05,11.165,638300.0
48,Ellington,1.65,86.8,4.05,4.85,2.55,40.2,18.61,266400.0
49,Enfield,6.45,77.35,10.0,2.6,3.2,40.4,26.16,189100.0
50,Essex,1.25,93.7,2.25,1.65,1.15,52.95,12.725,393350.0
51,Fairfield,1.45,84.9,6.65,4.5,2.05,40.75,15.66,591700.0
52,Farmington,2.85,78.2,5.45,11.45,1.7,43.9,14.345,330800.0
53,Franklin,1.1,87.85,5.1,0.25,5.55,45.25,12.0,242000.0
