Index,Town,Black or African American Alone,White Alone,Hispanic or Latino,Asian Alone,Two or More Races,Median Age,Percent Single-Parent Families,Median Home Value,Median Household Income,Gini Ratio,Percent Public School Enrollment,Percent Private School Enrollment,Percent With Private Health Insurance,Percent With Public Health Insurance,Percent Without Health Insurance,"Total Crime Index per 100,000","Total Violent Crime per 100,000","Total Property Crime per 100,000","Drug Arrests per 10,000"
150,Washington,0.7,88.45,8.45,1.15,0.9,51.45,20.795,454450.0,91734.0,0.595,53.7,46.3,80.3,34.0,4.95,627.713,26.388,601.313,7.213
151,Waterbury,18.75,39.75,35.95,1.95,3.0,35.8,46.015,133600.0,43398.0,0.463,89.0,11.0,45.6,52.35,10.2,4368.237,380.4,3987.825,51.864
152,Waterford,2.6,85.3,5.7,3.15,2.75,47.8,21.54,252450.0,83313.0,0.415,90.95,9.05,78.35,36.35,3.8,2531.638,219.462,2312.188,27.84
153,Watertown,1.5,89.05,6.8,1.35,0.95,45.25,22.015,246750.0,75343.0,0.424,83.05,16.95,79.1,30.65,3.6,2051.387,122.775,1928.637,15.413
154,West Hartford,6.6,72.4,10.85,7.65,2.1,41.35,20.87,321800.0,95899.5,0.478,85.05,14.95,81.9,27.4,3.4,2392.775,81.05,2311.7,57.211
155,West Haven,18.7,50.3,23.65,3.9,2.9,35.6,36.325,198800.0,57550.5,0.433,89.6,10.4,63.4,38.6,9.15,2740.312,406.213,2334.1,23.936
156,Westbrook,1.05,88.95,7.0,0.65,0.8,52.6,21.855,360700.0,76167.0,0.523,86.55,13.45,76.95,33.5,7.2,722.9,45.288,677.638,7.056
157,Weston,1.75,83.95,5.75,4.15,4.25,45.7,10.625,853100.0,212517.0,0.464,84.3,15.7,90.95,16.45,2.95,379.812,14.2,365.637,1.959
158,Westport,0.9,85.45,5.3,5.4,2.6,45.8,12.21,1078900.0,192641.0,0.526,82.65,17.35,88.75,20.45,2.7,1201.3,34.15,1167.15,12.72
159,Wethersfield,3.95,80.55,9.55,3.5,2.0,44.6,21.08,253250.0,84038.0,0.43,87.2,12.8,81.95,30.8,3.25,1379.175,78.162,1301.012,39.117
160,Willington,0.75,84.3,5.75,4.9,4.35,35.2,19.08,236150.0,73395.0,0.438,87.5,12.5,75.1,27.8,6.15,569.75,55.775,513.975,14.797
161,Wilton,0.85,84.25,3.15,7.75,3.85,43.05,9.66,797950.0,188284.0,0.466,83.5,16.5,90.35,17.85,2.5,529.938,7.425,522.525,6.326
162,Winchester,1.4,86.2,7.85,2.45,1.15,48.5,19.49,186150.0,58319.5,0.43,87.45,12.55,64.9,43.0,7.35,1905.95,105.788,1800.162,12.68
163,Windham,4.7,52.05,39.05,1.8,2.15,31.35,48.57,159200.0,42153.5,0.429,94.8,5.2,56.7,45.25,7.8,1506.088,91.425,1414.662,1.816
164,Windsor,36.5,46.25,9.45,4.3,3.2,43.4,26.44,223300.0,87030.5,0.382,83.75,16.25,79.95,27.75,4.3,1794.738,74.012,1720.738,26.581
165,Windsor Locks,4.9,79.35,4.7,7.7,3.1,42.9,25.17,195500.0,70517.0,0.416,91.75,8.25,77.55,32.8,3.95,1815.887,106.525,1709.388,18.047
166,Wolcott,2.25,88.25,6.7,1.55,1.2,45.45,20.47,244500.0,88168.5,0.377,94.8,5.2,81.4,28.1,3.55,1839.988,31.212,1808.762,8.837
167,Woodbridge,2.35,76.9,4.05,14.65,1.95,48.0,12.55,473450.0,151283.5,0.433,81.4,18.6,83.4,26.3,3.85,1324.675,35.637,1289.038,14.001
168,Woodbury,0.4,90.65,5.1,2.9,0.7,51.3,14.72,358800.0,90600.0,0.468,81.6,18.4,80.8,30.45,3.5,511.35,21.95,489.4,8.99
169,Woodstock,0.0,94.2,4.3,0.3,1.25,45.95,14.065,270900.0,85379.5,0.404,91.0,9.0,80.55,29.85,3.2,491.612,39.45,452.175,4.703
