Index,Town,Black or African American Alone,White Alone,Hispanic or Latino,Asian Alone,Two or More Races,Median Age,Percent Single-Parent Families,Median Home Value,Median Household Income,Gini Ratio,Percent Public School Enrollment,Percent Private School Enrollment,Percent With Private Health Insurance,Percent With Public Health Insurance,Percent Without Health Insurance,"Total Crime Index per 100,000","Total Violent Crime per 100,000","Total Property Crime per 100,000","Drug Arrests per 10,000"
34,Danbury,6.95,53.3,29.15,6.05,2.25,37.85,28.005,299600.0,69940.0,0.441,85.85,14.15,59.3,31.1,17.75,1942.288,179.725,1762.575,20.221
35,Darien,0.65,87.95,3.55,5.45,2.1,39.25,10.13,1372850.0,226328.0,0.511,77.45,22.55,91.15,14.7,2.05,871.525,13.938,857.612,12.009
36,Deep River,2.35,90.85,4.3,1.55,0.8,46.35,20.885,281000.0,74945.0,0.457,88.7,11.3,73.85,30.0,8.15,528.125,30.925,497.2,19.813
37,Derby,5.65,65.55,23.3,3.15,1.35,43.3,30.815,203150.0,55065.0,0.42,88.9,11.1,59.2,42.8,8.65,2872.725,230.975,2641.737,62.381
38,Durham,0.25,93.0,2.2,1.55,2.6,44.8,12.84,344050.0,121893.5,0.4,85.05,14.95,90.4,19.85,2.95,659.137,41.225,617.925,1.944
39,East Granby,3.4,79.95,9.5,2.1,4.9,42.9,17.385,284700.0,90125.0,0.371,89.0,11.0,81.9,27.2,5.15,1010.812,35.062,975.75,4.176
40,East Haddam,0.85,93.5,3.05,0.6,1.8,46.85,15.315,291100.0,88901.0,0.407,85.95,14.05,82.0,27.15,4.7,957.588,28.475,929.113,2.984
41,East Hampton,1.55,89.1,3.55,3.7,1.75,44.3,12.86,262250.0,95981.0,0.385,92.7,7.3,82.1,28.0,2.75,952.55,40.925,911.625,10.506
42,East Hartford,24.25,35.0,33.35,4.45,2.45,38.0,43.28,166850.0,54161.5,0.432,92.4,7.6,60.9,41.7,8.1,2954.875,315.162,2639.725,40.933
43,East Haven,3.6,74.35,15.85,4.25,1.6,42.0,30.275,214500.0,65446.5,0.413,91.25,8.75,71.6,36.0,6.3,2679.9,111.225,2568.688,12.716
44,East Lyme,3.5,79.9,7.7,5.95,2.7,46.95,19.53,312450.0,90026.0,0.409,93.05,6.95,80.45,34.5,3.05,908.188,66.862,841.338,13.417
45,East Windsor,6.6,76.05,7.15,7.2,2.85,43.25,24.77,210300.0,76732.5,0.371,84.15,15.85,75.25,30.35,6.0,3205.275,155.962,3049.3,13.811
46,Eastford,0.45,94.25,2.7,0.55,2.05,46.15,12.695,254050.0,87545.5,0.353,93.55,6.45,77.3,29.55,5.8,506.062,43.975,462.075,5.841
47,Easton,0.2,90.7,3.65,2.7,2.25,50.05,11.165,638300.0,149032.0,0.426,86.9,13.1,86.85,25.5,2.7,390.275,9.8,380.487,1.143
48,Ellington,1.65,86.8,4.05,4.85,2.55,40.2,18.61,266400.0,87595.0,0.422,91.05,8.95,88.05,20.85,2.25,535.7,36.762,498.938,3.476
49,Enfield,6.45,77.35,10.0,2.6,3.2,40.4,26.16,189100.0,75304.5,0.388,90.4,9.6,74.6,35.1,4.8,1828.225,109.5,1718.725,44.551
50,Essex,1.25,93.7,2.25,1.65,1.15,52.95,12.725,393350.0,94309.5,0.461,83.65,16.35,79.1,37.65,3.45,418.012,34.638,383.362,6.204
51,Fairfield,1.45,84.9,6.65,4.5,2.05,40.75,15.66,591700.0,131307.0,0.501,82.15,17.85,85.5,21.35,4.25,1861.913,73.9,1788.0,11.697
52,Farmington,2.85,78.2,5.45,11.45,1.7,43.9,14.345,330800.0,94487.0,0.481,91.55,8.45,85.1,25.7,2.65,2611.438,67.262,2544.175,28.931
53,Franklin,1.1,87.85,5.1,0.25,5.55,45.25,12.0,242000.0,89791.5,0.382,86.75,13.25,83.35,31.6,1.5,1287.812,64.6,1223.212,4.376
54,Glastonbury,1.65,82.7,5.25,8.65,1.25,44.65,15.745,345700.0,114811.5,0.452,86.9,13.1,85.95,23.05,3.05,1154.1,59.6,1094.488,38.061
55,Goshen,0.4,90.35,3.95,0.7,3.5,47.55,8.83,357650.0,104899.5,0.444,82.9,17.1,83.3,28.9,2.4,475.675,35.225,440.438,8.244
56,Granby,0.8,92.5,2.65,1.5,2.35,47.35,11.07,296850.0,107009.0,0.42,91.7,8.3,86.1,22.15,2.9,928.425,29.825,898.575,27.544
57,Greenwich,2.7,74.85,12.1,7.45,2.4,42.8,15.52,1273850.0,147845.0,0.58,62.8,37.2,83.4,22.35,5.3,736.525,30.325,706.188,10.896
58,Griswold,0.85,87.4,3.95,2.25,4.75,41.35,27.955,190000.0,60757.0,0.431,93.35,6.65,68.15,39.5,3.7,951.15,108.688,842.475,19.586
